Participant ID,Test Code,TestCodeCoded,Method,MethodCoded,Date,Mobile OS,MobileOSCoded,Version
1,participant,0,QR,1,3/10/2016,iPhone,1,9.2
1,provided,1,QR,1,3/10/2016,Android,0,5.1
2,participant,0,URL,0,3/10/2016,iPhone,1,9.1
2,provided,1,QR,1,3/10/2016,Android,0,5.1
3,participant,0,URL,0,3/10/2016,Android,0,4.3
3,provided,1,QR,1,3/10/2016,Android,0,5.1
4,participant,0,QR,1,3/10/2016,iPhone,1,8.4
4,provided,1,QR,1,3/10/2016,Android,0,5.1
5,participant,0,URL,0,3/10/2016,iPhone,1,9.2
5,provided,1,QR,1,3/10/2016,Android,0,5.1
6,participant,0,QR,1,3/10/2016,iPhone,1,9
6,provided,1,QR,1,3/10/2016,Android,0,5.1
7,participant,0,QR,1,3/11/2016,Android,0,5.1
7,provided,1,QR,1,3/11/2016,Android,0,5.1
8,participant,0,QR,1,3/11/2016,Android,0,6
8,provided,1,QR,1,3/11/2016,Android,0,5.1
9,participant,0,URL,0,3/11/2016,iPhone,1,9.2
9,provided,1,QR,1,3/11/2016,Android,0,5.1
10,participant,0,QR,1,3/11/2016,iPhone,1,8.4
10,provided,1,QR,1,3/11/2016,Android,0,5.1
