Participant ID,Test Code,TestCodeCoded,Method,MethodCoded,Date,Mobile OS,MobileOSCoded,Version
1,provided,1,QR,1,3/10/2016,Android,0,5.1
2,provided,1,QR,1,3/10/2016,Android,0,5.1
3,provided,1,QR,1,3/10/2016,Android,0,5.1
4,provided,1,QR,1,3/10/2016,Android,0,5.1
5,provided,1,QR,1,3/10/2016,Android,0,5.1
6,provided,1,QR,1,3/10/2016,Android,0,5.1
7,provided,1,QR,1,3/11/2016,Android,0,5.1
8,provided,1,QR,1,3/11/2016,Android,0,5.1
9,provided,1,QR,1,3/11/2016,Android,0,5.1
10,provided,1,QR,1,3/11/2016,Android,0,5.1
12,provided,1,URL,0,3/24/2016,Android,0,5.1
13,provided,1,QR,1,3/24/2016,Android,0,5.1
14,provided,1,QR,1,3/24/2016,Android,0,5.1
15,provided,1,QR,1,3/24/2016,Android,0,5.1
16,provided,1,QR,1,3/24/2016,Android,0,5.1
